sample_id,stratum,absa_aspect,text,label,confidence,notes
comparative-138305587-2,comparative,Tesla,"While Tesla and General Motors beat earnings expectations, PACCAR matched the same.",,,
other_only-136557730-29,other_only,Snowflake Reports Financial Results,“ Snowflake Reports Financial Results for the First Quarter of Fiscal 2026 .”,,,
direct-137278979-3,direct,Tesla,"Tesla's share price has shown some impressive momentum over the last quarter, with a 90-day share price return of 45.43 percent and a solid 76.15 percent total shareholder return over the past year.",,,
other_only-137884564-43,other_only,Xrp,"If you stay patient, size your positions small, and learn the basics of how future XRP ETF waves might play out , this “third path” narrative can become one more tool in your decision-making—not a shortcut.",,,
direct-136885569-17,direct,Tesla,"Recent data notes the rising popularity of Chinese EVs to the detriment of American ones, namely Tesla's.",,,
comparative-140436307-26,comparative,Tesla,"On a year-to-date basis, NIO stock at +5% beats Tesla at -2",,,
other_only-138447823-7,other_only,Nvidia,"Goldman Sachs analyst James Schneider said Nvidia now has visibility into $500 billion in cumulative Datacenter revenue for 2025–26, a figure that is 12% above consensus estimates from Visible Alpha.",,,
anaphora_resolved-141058396-83,anaphora_resolved,,"The company's recently launched In-Sight 3900 vision system and In-Sight 6900 vision controller push AI processing directly to the edge, meaning robots can inspect parts and make decisions on the factory floor without waiting on a round trip to some server farm.",,,
ceo_only-140418894-11,ceo_only,SpaceX,Musk merged the AI unit that developed the Grok large language model with SpaceX earlier this year.,,,
direct-141084276-9,direct,Tesla,"Along with Musk’s prompt dismissal of the report, Tesla's China division independently denied the claims.",,,
direct-137586697-15,direct,Tesla,"The number of lawsuits facing Tesla and its claims of full self-driving capability are mounting, as are settlements and losses.",,,
comparative-136933989-23,comparative,Tesla,"When factoring in the U.K., Norway, and other European Free Trade Association (EFTA) countries, Tesla outpaced BYD with 14,831 cars sold versus BYD’s 11,455.",,,
other_only-139908240-241,other_only,State Farm,"Progressive was the Number 3 auto insurer in the US a few years ago, and now it's a legitimate contender to take the Number 1 spot away from State Farm.",,,
anaphora_resolved-140728383-22,anaphora_resolved,Tesla,"Earlier this month, the firm defaulted on a $343 million loan backed by the 40-story office tower at One South Wacker Drive .",,,
other_only-136536120-32,other_only,Nvidia,Microsoft Corporation (NASDAQ: MSFT ): 9.6% of assets NVIDIA Corporation (NASDAQ: NVDA ): 7.0% of assets Amazon.com Inc (NASDAQ: AMZN ): 7.0% of assets Apple Inc (NASDAQ: AAPL ): 5.4% of assets PTC Inc (NASDAQ: PTC ): 3.0% of assets Advance Micro Devices (NASDAQ: AMD ): 2.9% of assets Becton Dickinson : 2.8% of assets Alphabet Inc Class A (NASDAQ: GOOGL ): 2.6% NiSource Inc : 2.6% of assets Roper Technologies (NASDAQ: ROP ): 2.6% of assets Read Next: 'Scrolling To UBI' — Deloitte's #1 fastest-growing software company allows users to earn money on their phones.,,,
direct-140059715-5,direct,Tesla,"According to Benzinga Edge Rankings, Tesla offers poor Momentum, but excellent Growth.",,,
other_only-137908145-19,other_only,General Motors,General Motors Co. ( NYSE: GM ) stock is up by 102%.,,,
comparative-136476419-18,comparative,Tesla,"But it has even more Nvidia, Alphabet, Meta Platforms, Broadcom, Tesla, and Netflix than the Growth ETF.",,,
other_only-138543301-11,other_only,Fear & Greed Index,The Fear & Greed Index is a measure of the current market sentiment.,,,
direct-141122360-19,direct,Tesla,"Tesla is betting more than $25 billion of CapEx and up to $30 billion in new debt capacity that Robotaxi, Cybercab, and Optimus scale before margins fully break.",,,
direct-136913564-32,direct,Tesla,Because sales are going to need to pick up sharply at some point in order for Tesla's fundamentals to live up to its stock price.,,,
other_only-138968861-1,other_only,Ads,"Adjusted net earnings per ADS showed a loss of 0.36 yuan (5 cents), missing the Street’s expectation of a 4-cent gain.",,,
ceo_only-136865903-64,ceo_only,Musk,"Sure, recent EV sales have looked soft, but Wall Street’s gaze has shifted to what Musk is really selling—a future built on robotics, autonomous mobility, and AI.",,,
coref_resolved-138507182-26,coref_resolved,Tesla,Couple this with excitement over its soon-to-arrive Cybercab patent and the company’s stock has been essentially defying gravity.,,,
comparative-141063481-27,comparative,Tesla,"Read Also: Baidu-Backed Robotaxi Operator Apollo Go Begins London Autonomous Vehicle Testing Following Lyft, Uber Deals He then shared an excerpt from a post the investor came across on his feed, which said that Tesla Bulls' predictions about Uber's ""imminent demise"" have been ""flat out wrong"" as the company continues to expand ""autonomous partner initiatives.""",,,
anaphora_resolved-138306068-15,anaphora_resolved,Tesla,"The company holds $18.9 billion in cash and $23.4 billion in short-term investments, but it’s planning over $20 billion in capital expenditures for 2026.",,,
coref_resolved-141058396-67,coref_resolved,,"The company has taken things a step further with Isaac GR00T, an open development platform that includes foundation models designed specifically for humanoid robots.",,,
anaphora_resolved-138311309-29,anaphora_resolved,,"How do they value the company?""",,,
comparative-137878318-53,comparative,Tesla,"Finally, a SpaceX IPO could even draw in some current Tesla skeptics, giving them a way to buy into a piece of Musk’s vision without taking on Tesla’s perceived “baggage.”",,,
comparative-141109190-14,comparative,Tesla,Elon Musk has seen his net worth plunge by over $684 billion in the past few weeks as SpaceX and Tesla shares continued falling.,,,
coref_resolved-138442964-7,coref_resolved,Tesla,"""We have had Optimus do some basic tasks in the factory,"" he shared, but added that the Robot wasn't ""in usage in our factories in a material way.",,,
anaphora_resolved-140733576-27,anaphora_resolved,,It took less than a month to add nearly $400 billion more.,,,
ceo_only-140425989-1,ceo_only,SpaceX,"As the Elon Musk -led commercial space flight giant SpaceX gears up for its IPO, here's how you can participate in the listing via platforms like Robinhood Markets Inc. , E-TRADE and SoFi Technologies Inc. .",,,
other_only-136882898-7,other_only,Ubs,"UBS is now modeling for about 475,000 deliveries in the third quarter, a figure that exceeds the consensus analyst estimate ahead of the report.",,,
other_only-139570975-23,other_only,Amazon,Amazon.com Inc's (NASDAQ: AMZN ),,,
ceo_only-136579574-0,ceo_only,Ap,"Oops, something went wrong NEW YORK (AP) — The car company run by Elon Musk asked a federal court Friday to dismiss massive damages awarded to victims of a deadly crash, arguing that their lawyers had misled the jury by improperly bringing up the billionaire during the trial.",,,
comparative-141106143-10,comparative,Tesla,"For years, GM was criticized for moving too cautiously in the EV business while Tesla stormed ahead.",,,
direct-139909134-66,direct,Tesla,"Early Optimus assembly lines are quietly coming together, signaling that Tesla is thinking far beyond cars.",,,
coref_resolved-138404396-20,coref_resolved,Tesla,"Li Auto recalled over 11,411 units of the vehicle, citing coolant leakage issues.",,,
other_only-137940165-53,other_only,Specs Howard School Of Media Arts,"He attended the prestigious Cranbrook Schools in Bloomfield Hills, Michigan, and has a degree in broadcasting from the Specs Howard School of Media Arts.",,,
direct-139169156-10,direct,Tesla,"Price Action: Tesla shares are down 0.14% in after-hours trading, according to Benzinga Pro.",,,
other_only-140126070-10,other_only,Booking Holdings (Bkng,"That’s the kind of number that reaches all the way to the U.S., where companies such as Booking Holdings (BKNG) are likely seeing reduced bookings and website traffic.",,,
direct-137228479-53,direct,Tesla,"In September, Mizuho raised its price target on Tesla to $450 from $375 while keeping an “Outperform” rating.",,,
coref_resolved-141103169-199,coref_resolved,Tesla,"Tyler Crowe: I want to do a quick thing and try to flip the script on Balf because each Petsense stock, Lou, you got Tractor Supply.",,,
ceo_only-140009355-23,ceo_only,Musk,Watch Q2 deliveries and the v3 Optimus reveal Musk pegged for mid-2026.,,,
direct-137649812-1,direct,Tesla,But essentially zero other electric vehicle (EV) stocks have ever matched even a fraction of Tesla's success.,,,
ceo_only-136478880-7,ceo_only,Elon Musk,Grokthe conversational AI built by Elon Musk's xAI and embedded in U.S. Teslas.,,,
direct-137897202-3,direct,Tesla,For more information please view the Barchart Disclosure Policy here Share Tesla (TSLA) stock is closing in on the $500 mark.,,,
direct-137215865-11,direct,Tesla,"I think Wood is still very bullish on Tesla stock over the long term, though the position sizing may have gotten too big for how Ark Invest prefers to manage risk.",,,
other_only-137605617-29,other_only,Amazon,"Because if Amazon fails to deliver or AWS loses market share, investors will question the capital allocation strategy.",,,
ceo_only-136529952-1,ceo_only,Apple,"Billionaire entrepreneur Elon Musk’s artificial intelligence startup xAI sued Apple and ChatGPT maker OpenAI in U.S. federal court in Texas on Monday, accusing them of illegally conspiring to thwart competition for artificial intelligence.",,,
comparative-140478258-3,comparative,Tesla,"Of course, that doesn't mean it's going to overtake Tesla this year, but it does mean that Nio has evolved into a legitimate contender in the race to bring an affordable electric SUV to market.",,,
ceo_only-137649791-9,ceo_only,Ev Market Surges Past Us,"Also Read: China's EV Market Surges Past US and Europe—'China's Elon Musk' Shares Two Stats That Explain Why These obstacles, coupled with the EV slowdown, have prompted some automakers to withdraw electric models from the US market entirely.",,,
comparative-136855449-2,comparative,Tesla,"Harmon brings nearly 20 years of legal experience, including more than a decade at Amazon and Tesla that included overseeing the opening of Tesla's global headquarters.",,,
comparative-138311309-26,comparative,Tesla,"Edward Best, co-chair of the capital markets practice at law firm Willkie Farr & Gallagher, said if SpaceX goes forward with an IPO and ⁠were a public company at the time of a potential merger, valuing a deal between Tesla and SpaceX would become more straightforward.",,,
direct-138404414-5,direct,Tesla,"Lei compared Tesla’s Model Y with Xiaomi’s YU7 electric SUV, stating, “If you don’t choose the YU7, you might consider the Model Y.”",,,
ceo_only-139909133-41,ceo_only,Elon Musk,"""If Elon Musk is concerned about his reputation, maybe that encourages him to settle instead of going all the way through trial,"" he said.",,,
ceo_only-137586697-20,ceo_only,Elon Musk,"One only has to look at CEO, Elon Musk's, recent compensation package that was passed with 75% approval from shareholders and could be worth up to $1 trillion.",,,
direct-139909134-53,direct,Tesla,"Beneath all of that strength, Tesla’s management itself is signaling a shift, and maybe a bit of discomfort.",,,
other_only-141058396-64,other_only,Nvidia,"Isaac combines Nvidia's accelerated computing hardware, simulation software, and AI models into a single robotics platform.",,,
direct-140422188-15,direct,Tesla,Elon Musk defends Tesla's brand against concerns of political activism damage following his association with President Donald Trump.,,,
anaphora_resolved-138421155-9,anaphora_resolved,,"Recently, the company reported fiscal third-quarter revenue of 27.4 billion yuan, down 36.2% year over year.",,,
ceo_only-140457076-27,ceo_only,Musk,"But Musk had his own AI company, xAI, buy out X for $45 billion, including debt , again bailing out Musk and other X investors at the expense of xAI investors.",,,
direct-139577822-24,direct,Tesla,"As Tesla's CEO, Elon Musk, said: I think long-term Optimus will have a very significant impact on the US GDP.",,,
anaphora_resolved-137263503-41,anaphora_resolved,,"The company on Aug. 1 posted Q2 2025 revenues of $44.82 billion, below the consensus estimate of $45.88 billion, while EPS of $1.77 beat the consensus of $1.70.",,,
ceo_only-140122179-20,ceo_only,Musk,"Each market has different win conditions, Polymarket has a higher bar for Musk to clear, which explains the discrepancy.",,,
direct-138432279-17,direct,Tesla,"Earlier, the company had also reportedly reached the 450,000 weekly Robotaxi rides milestone, putting it firmly in the lead amid a Robotaxi race in the U.S., which includes the likes of Tesla Inc. (NASDAQ: TSLA ) , which recently conducted driverless testing operations in Austin.",,,
ceo_only-141042353-7,ceo_only,Elon Musk,CEO Elon Musk called this “the fastest industrial scale-up since World War II.”,,,
comparative-140736364-27,comparative,Tesla,"The view would shift once Tesla demonstrates recurring, unsupervised fare revenue at Waymo’s scale.",,,
coref_resolved-137274851-7,coref_resolved,,"""I think we are probably the first technology company in history to have visibility into half a trillion dollars [in revenue],"" Huang told attendees, referring to demand for the company's Blackwell and upcoming Rubin chip architectures.",,,
ceo_only-137228487-23,ceo_only,Musk,"I actually think the proposed compensation package is probably good for shareholders because of its milestone-based incentives, which ensure that Musk won't get the control he craves unless he delivers on key innovations and performance metrics.",,,
coref_resolved-138315115-8,coref_resolved,Tesla,"You know, Musk himself has said for a long time, we're not a car company.",,,
anaphora_resolved-138497475-3,anaphora_resolved,,Investors are monitoring the company’s upcoming Blue Ghost Mission 2 lunar landing and the development of the medium-lift Eclipse rocket.,,,
direct-137950056-13,direct,Tesla,"He owns 15% of electric vehicle maker Tesla, which has a market cap of $1.51 trillion.",,,
ceo_only-140431882-19,ceo_only,Elon Musk,This might happen if Elon Musk’s plan for every human to have a humanoid robot comes true.,,,
coref_resolved-141107725-10,coref_resolved,Tesla,"In June, the U.S. added Unitree and other major Chinese tech firms to a list of companies it believes are ​aiding Beijing's military.",,,
coref_resolved-139920144-14,coref_resolved,Tesla,"The automaker reported its first-quarter earnings after the market closed on Wednesday, recording a Q1 2026 revenue of $22.71 billion, which showcased a 16% YoY jump.",,,
anaphora_resolved-138291548-16,anaphora_resolved,Tesla,The company serves an average of 1.2 million guests per day.,,,
coref_resolved-137215734-16,coref_resolved,,One of the things they're doing though is leveraging other people's capacity.,,,
comparative-140441179-23,comparative,Tesla,"A combined Tesla SpaceX entity would increase dependence on Elon Musk's decision making and capital allocation, which could heighten governance concerns for some shareholders, especially with super voting control in focus.",,,
ceo_only-139905742-24,ceo_only,Elon,"""That said, it's Elon and never doubt him in these spots.""",,,
coref_resolved-141122287-1,coref_resolved,,"Zoox, whose electric carriage-style vehicle has two rows of inward-facing seats, has been carrying passengers in Las Vegas, ​San Francisco, Austin and Miami for free as part of testing.",,,
coref_resolved-139558668-20,coref_resolved,Tesla,And I think AI and autonomy um only benefit this company going forward.,,,
ceo_only-139905684-26,ceo_only,Musk,Mr Musk may also face questions over his personal life.,,,
ceo_only-141054986-18,ceo_only,Musk,Musk has attacked LiDAR for years .,,,
anaphora_resolved-141078950-2,anaphora_resolved,,"It also knows how to run, gaining more than 30% in under two months on 7 separate occasions since 2022, 5 of which topped 50%.",,,
ceo_only-139589574-83,ceo_only,Musk,Musk also highlighted that stocks can be a smarter alternative to holding cash when inflation is high.,,,
ceo_only-140491732-22,ceo_only,Press Office,Newsom’s official Press Office handle showcased a new “$1 trillion bill” featuring Newsom and “bff Elon Musk!”,,,
comparative-136478882-5,comparative,Tesla,"The issue of cost is critical to companies like Nio and Tesla, because EVs tend to have higher upfront costs, but much lower maintenance and fueling costs than internal combustion engines (ICE).",,,
anaphora_resolved-141081503-52,anaphora_resolved,,"While lidar remains central to its technology, the company has evolved beyond a traditional hardware business by combining lidar sensors with cameras, AI computing, perception software and proprietary AI models.",,,
comparative-140457076-46,comparative,Tesla,"In the here and now, a potential SpaceX-Tesla merger would essentially use highly coveted and richly valued SpaceX shares to buy Tesla, a profitable company but one that may be on the downslide as its EV sales stall.",,,
direct-136882898-0,direct,Tesla,"Shares of Tesla ( TSLA +3.80% ) have been volatile into quarter-end, with investors fixated on next week's delivery report.",,,
anaphora_resolved-140466595-147,anaphora_resolved,Tesla,It reminded me that single stocks allow for tactical precision that broad asset classes simply cannot match in a fast-moving market.,,,
coref_resolved-137878318-14,coref_resolved,Tesla,"In addition, the company is increasingly focusing on products and services centered around AI, robotics, and automation.",,,
other_only-139903435-0,other_only,Overview Energy,Overview Energy is developing a system to collect solar energy in space and transmit it to ground facilities for continuous power generation.,,,
other_only-141146198-39,other_only,O'Rourke,"""This is not healthy behavior, it's more closer to a bear market rally where all the gains are registered in a few days,"" O'Rourke said.",,,
comparative-141077975-9,comparative,Tesla,"In addition, CEO Elon Musk is reportedly still pushing for a merger between SpaceX and Tesla ( TSLA ).",,,
anaphora_resolved-137215701-17,anaphora_resolved,,"The company raised $425 million in its initial public offering at a $3 billion valuation and saw its stock open at $37, 32% above its IPO price of $28.",,,
coref_resolved-137230899-36,coref_resolved,Tesla,"Shifting to robotics, Musk recently shared a near-term roadmap, noting, ""We look forward to unveiling Optimus V3 in Q1, 2026.",,,
anaphora_resolved-136495985-18,anaphora_resolved,,"It's also developing a lunar satellite constellation through its near-space networks services (NSNS) contract with NASA, and it's expanding its commercial ""ride-sharing"" business that will enable other companies to deliver their own payloads to the moon on its landers.",,,
ceo_only-141144629-22,ceo_only,SpaceX,"The project deepens Musk’s presence in Texas, where SpaceX said its operations have generated more than 56,000 direct and indirect jobs and an estimated $28 billion in economic impact since 2024.",,,
anaphora_resolved-141129153-11,anaphora_resolved,,"Revenue reached $7.8 billion, up 92% year-over-year, while the company narrowed its net loss.",,,
anaphora_resolved-137247799-27,anaphora_resolved,,"Conversely, the stock can be a good option for income-focused investors, who can benefit from the company's solid dividend yield of 3.52%.",,,
ceo_only-141061143-4,ceo_only,Elon Musk,“A proposed pledge for Elon Musk.”,,,
anaphora_resolved-140736411-32,anaphora_resolved,Tesla,"In predicting a stock's future price performance, it's crucial to determine whether its current price correctly reflects the intrinsic value of the underlying business and the company's growth prospects.",,,
other_only-141066278-16,other_only,Space Exploration Technologies Corp,"“China makes half the goods of Earth,” the Space Exploration Technologies Corp. (NASDAQ: SPCX )",,,
comparative-140491735-7,comparative,Tesla,"He used an example in which a higher-multiple SpaceX acquiring a lower-multiple Tesla would pull the combined company toward Tesla’s valuation multiple, reducing the merged enterprise value.",,,
coref_resolved-139563821-7,coref_resolved,Tesla,"The shares had closed 3.4% lower on October 24th, soon after the firm had reported its third quarter earnings.",,,
anaphora_resolved-138295583-5,anaphora_resolved,,"The firm warned that ""multiple launch milestones [are] likely to be missed,"" risking pressure on earnings, and noted that ""funding may become a topic despite a $44bn cash pile.""",,,
ceo_only-136476575-3,ceo_only,Musk,"McAferty, an Arizona voter, claimed Musk induced people in seven battleground states to sign a petition supporting the U.S. Constitution with promises of million-dollar prizes.",,,
coref_resolved-141046304-1,coref_resolved,Tesla,"Eleven years later, the company was worth $1 trillion.",,,
comparative-139558651-6,comparative,Tesla,"Nvidia ( NVDA ) and Amazon ( AMZN ) fell roughly 3% for the week, while Tesla ( TSLA ) dropped nearly 2% over the five-day span.",,,
anaphora_resolved-141122355-50,anaphora_resolved,Tesla,"It's one of the hardest things to solve to make an autonomous humanoid robot that can do tasks that if you simply ask it to do something or show a video, it can do the task without any programming.",,,
other_only-141107721-4,other_only,Gs Holdings,"In other market news, GS Holdings was a notable mover up 15% and finishing the session at ₩97,300, close to the 52-week high.",,,
coref_resolved-141114186-0,coref_resolved,Tesla,"""We are working on better learning of users’ implied preferences,"" Elluswamy wrote on X in a reply on Monday.",,,
direct-138308815-37,direct,Tesla,"If it does move forward, Tesla’s stock would likely be a buy short-term due to hype-driven rallies, but longer term it would be a hold considering the dilution potential, regulatory risks, and distractions it might cause.",,,
comparative-141046304-2,comparative,Tesla,"For SpaceX (NASDAQ: SPCX ), the space company went public already worth $1 trillion, but that makes a pullback after IPO significantly higher in value than when Tesla went public.",,,
comparative-141137161-12,comparative,Tesla,Tesla and SpaceX have been collaborating on Terafab as speculation about a potential merger between the two companies has grown since SpaceX completed its IPO in June.,,,
direct-140772586-0,direct,Tesla,"Through a detailed examination of Tesla, we can deduce the following trends: The debt-to-equity (D/E) ratio is a key indicator of a company's financial health and its reliance on debt financing.",,,
other_only-139589571-1,other_only,Graniteshares Autocallable,GraniteShares today announced the weekly distributions for its GraniteShares Autocallable ETFs: ANV and TLA as shown in the table below.,,,
other_only-136557726-6,other_only,Nvidia,GuruFocus has detected 5 Warning Signs with NVDA.,,,
direct-140749915-72,direct,Tesla,"The post A $290,000 Tesla Semi for $50,000??",,,
