sample_id,text,algorithm_claim,algorithm_substituted_text,about_tesla,substitution_correct,note
ceo_only-141042850-0,"Investing Musk's net worth crashed $488 billion in a month after SpaceX shares slid 45% post-IPO, briefly making him the world's first trillionaire.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-140420157-13,"For many investors, the appeal may be less about near-term profitability and more about whether Musk can once again turn a capital-intensive, futuristic business into a company capable of creating major long-term wealth.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-137228483-44,"Its ambitious bets on AI, robotaxis and robotics could take years to yield meaningful results, and the company's history of missed timelines adds execution risk.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla's ambitious bets on AI, robotaxis and robotics could take years to yield meaningful results, and the company's history of missed timelines adds execution risk.",,,
anaphora-140458162-12,"It requires regulatory clearance, safety performance, operational reliability and public trust.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla requires regulatory clearance, safety performance, operational reliability and public trust.",,,
coref-137908149-9,The company has been ramping up production at its Lathrop Megafactory in California specifically to meet growing global demand for grid-scale storage.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Tesla has been ramping up production at its Lathrop Megafactory in California specifically to meet growing global demand for grid-scale storage.,,,
ceo_only-137940242-49,"That sets a high bar for Ford to… General Motors may be the largest U.S. car company, yet its market cap is just a fraction of that of… Elon Musk’s net worth has risen $16 billion this year to $449 billion, according to the Bloomberg Billionaire Index.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-139921783-27,It's no longer a car company.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's no longer a car company.,,,
anaphora-141042481-10,The company is developing a robust portfolio of more than 16 GW of renewable energy projects across key markets.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla is developing a robust portfolio of more than 16 GW of renewable energy projects across key markets.,,,
coref-139590968-8,"The company operates across China, the United States, and globally.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla operates across China, the United States, and globally.",,,
anaphora-139984538-4,"The case stems from a long-running rift between Musk and OpenAI leadership, dating back to the company's founding in 2015, and arrives as the organization moves closer to a potential public offering that could rank among the largest in history.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","The case stems from a long-running rift between Musk and OpenAI leadership, dating back to Tesla's founding in 2015, and arrives as the organization moves closer to a potential public offering that could rank among the largest in history.",,,
coref-140750588-28,"The first is, of course, the huge army of Musk fanatics that typically buy the dips in the stock.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"The first is, of course, the huge army of Musk fanatics that typically buy the dips in Tesla.",,,
ceo_only-141042485-35,Musk has built a career proving skeptics wrong.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-137230899-37,"It won't seem like a robot but a human in a suit.""","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla won't seem like a robot but a human in a suit.""",,,
anaphora-141129157-18,"Both metrics remain above the industry averages, placing a premium value on the company’s stock compared with many of its peers.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Both metrics remain above the industry averages, placing a premium value on Tesla’s stock compared with many of its peers.",,,
anaphora-139194146-23,"It expires in 81 day(s) on May 15, 2026 .","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla expires in 81 day(s) on May 15, 2026 .",,,
anaphora-139909984-24,"It is expected to be about 14 feet long, which is shorter than the Model Y. Production will start in China and later expand to the U.S. and Europe.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla is expected to be about 14 feet long, which is shorter than the Model Y. Production will start in China and later expand to the U.S. and Europe.",,,
coref-139915361-22,Even modest delays could pressure the stock and force expectations lower.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Even modest delays could pressure Tesla and force expectations lower.,,,
coref-141122355-200,We expect that the time to launch to a new city will continue to trend towards zero towards an end where we operate in the entire states as a whole instead of going by a city by city.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Tesla expect that the time to launch to a new city will continue to trend towards zero towards an end where we operate in the entire states as a whole instead of going by a city by city.,,,
ceo_only-141042485-9,Musk has never been shy about the Cybertruck's potential.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-141107636-38,But it's miles away from capturing even a respectable fraction of the current and future robotaxi market.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,But Tesla's miles away from capturing even a respectable fraction of the current and future robotaxi market.,,,
anaphora-139238355-36,It also remains to be seen what success even looks like.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla also remains to be seen what success even looks like.,,,
ceo_only-140438004-8,"While the numbers reflect a wide range of outcomes, it's clear that robotaxi revenue won't be material in 2026, as Musk stated on the recent earnings call.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-141056844-33,Ark’s move suggests the firm remains willing to add on weakness.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Ark’s move suggests Tesla remains willing to add on weakness.,,,
coref-138404396-0,"Analysts predict that the automaker will report its biggest-ever revenue decline, with sentiments showcasing an expected 38% year-on-year dip for the automaker, Bloomberg reported on Tuesday.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Analysts predict that Tesla will report its biggest-ever revenue decline, with sentiments showcasing an expected 38% year-on-year dip for the automaker, Bloomberg reported on Tuesday.",,,
ceo_only-141119665-11,"“We’re exclusive to Nvidia,” Musk said during the earnings call, calling it “the best AI computer.”",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-139915362-6,Musk is clearly capable of creating trillion-dollar businesses.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-141042483-3,The companies did not disclose financial terms.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
coref-136476320-16,"The moves follow news that the EV maker will look to increase the price of some of its Cybertrucks by $15,000 in the US.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"The moves follow news that Tesla will look to increase the price of some of its Cybertrucks by $15,000 in the US.",,,
coref-137258403-13,"Its revenue stood at $28.1 billion, up 11.6% year over year.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla's revenue stood at $28.1 billion, up 11.6% year over year.",,,
anaphora-138299999-144,It doesn't just know the facts.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla doesn't just know the facts.,,,
coref-136476320-19,"The ""Luxe Package"" for the car includes supervised Full Self-Driving and free access to its supercharging network.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"The ""Luxe Package"" for the car includes supervised Full Self-Driving and free access to Tesla's supercharging network.",,,
anaphora-137228479-95,It was supposed to be…,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla was supposed to be…,,,
anaphora-137235086-7,"Xiaomi: Strengthened partnership with Xiaomi, recently taking over management of the company's insurance renewal business to help mitigate the risk of policies lapsing.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Xiaomi: Strengthened partnership with Xiaomi, recently taking over management of Tesla's insurance renewal business to help mitigate the risk of policies lapsing.",,,
coref-137589125-26,But does the stock's valuation leave enough room for the risks associated with building out these new product initiatives?,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
anaphora-140731220-30,The company is leaning harder into a storage-first model and focusing on higher-value customers rather than volume alone.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla is leaning harder into a storage-first model and focusing on higher-value customers rather than volume alone.,,,
anaphora-140117671-3,It's been a long time coming.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's been a long time coming.,,,
ceo_only-140772787-29,"On the first-quarter earnings call, Musk shifted the timeline to a dozen states by year-end.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-139903984-39,"Musk's argument has barely changed because, in his view, the limiting factors were never land or sunlight.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-137878317-8,"A Delaware Chancery Court judge rejected the vote both times, describing the pay as ""unfathomable"" and questioning Musk's influence over the company's board in negotiating his compensation.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-141122360-13,Elon Musk was unusually blunt on the call.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-141134036-13,"Founded in 1997, the company has approximately $85.4 billion in assets under management as of June 30, 2026.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Founded in 1997, Tesla has approximately $85.4 billion in assets under management as of June 30, 2026.",,,
anaphora-138306068-15,"The company holds $18.9 billion in cash and $23.4 billion in short-term investments, but it’s planning over $20 billion in capital expenditures for 2026.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla holds $18.9 billion in cash and $23.4 billion in short-term investments, but it’s planning over $20 billion in capital expenditures for 2026.",,,
coref-137884570-35,"The company is targeting 2026 for “volume production” of several major launches, including the long-awaited Cybercab robotaxi, its heavy-duty Semi truck, and the next-generation Megapack 3 energy-storage platform.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"The company is targeting 2026 for “volume production” of several major launches, including the long-awaited Cybercab robotaxi, Tesla's heavy-duty Semi truck, and the next-generation Megapack 3 energy-storage platform.",,,
ceo_only-136530040-8,"Musk's companies allege Apple deprioritized super apps and AI chatbots such as xAI's Grok in App Store rankings, making it harder for competitors to gain traction.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-140776562-16,It could determine the market's next move.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla could determine the market's next move.,,,
ceo_only-141081755-0,"Oops, something went wrong Elon Musk's SpaceX ( SPCX ) is scheduled to release its first earnings report on Tuesday, August 4, since going public in June.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-138290190-21,"The AI company, which Musk owns and started in 2023 , also owns his social media platform, X .",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-139958648-0,"Oops, something went wrong California drayage operator deploys Class 8 electric truck on live port freight lanes in a three-week pilot, advancing zero-emission goals for last-mile container moves.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
ceo_only-140035346-34,"Musk said the ""jackass"" statement was a joke.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-141137164-18,"The company reported more than 380,000 unsupervised Robotaxi miles across six cities with no notable incidents.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla reported more than 380,000 unsupervised Robotaxi miles across six cities with no notable incidents.",,,
coref-141122355-28,"The Cybercab has started production, and we also have started production and are ramping in -- we will soon start production with Optimus.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"The Cybercab has started production, and Tesla also have started production and are ramping in -- we will soon start production with Optimus.",,,
anaphora-139566427-22,"It doesn't make sense,"" Priestley added.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla doesn't make sense,"" Priestley added.",,,
coref-136568944-20,"This robotaxi will haul passengers around the clock, creating a potenitally high-margin revenue stream for the company.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"This robotaxi will haul passengers around the clock, creating a potenitally high-margin revenue stream for Tesla.",,,
coref-137278987-37,"Of 42 analysts covering the stock, 14 call it a “Strong Buy,” and two others call it a “Moderate Buy.”",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Of 42 analysts covering Tesla, 14 call it a “Strong Buy,” and two others call it a “Moderate Buy.”",,,
coref-139903988-7,"The company's total revenue for the quarter stood at $22.39 billion, increasing 15.8% year over year.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla's total revenue for the quarter stood at $22.39 billion, increasing 15.8% year over year.",,,
ceo_only-139554343-4,"“Noted,” Musk said in his response.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-140438083-61,And it’s no secret that Musk has legions of retail fans.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-137908143-3,"It was initiated on Dec. 23 following a defect petition alleging that the mechanical door release is concealed, unlabeled and not intuitive to locate during emergencies.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla was initiated on Dec. 23 following a defect petition alleging that the mechanical door release is concealed, unlabeled and not intuitive to locate during emergencies.",,,
coref-141127412-30,"The company continues to expand its Full Self-Driving (FSD) technology, energy-storage business, and AI efforts.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla continues to expand its Full Self-Driving (FSD) technology, energy-storage business, and AI efforts.",,,
ceo_only-141074076-1,"""This has never even come up in a discussion ever,"" Musk, the world's richest person, said on ​his X social media account in response to the report.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-139163171-8,"What's more, Musk is tapping into his artificial intelligence (AI) company, xAI, to develop an artificial intelligence system for Optimus.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-138299999-399,"They're fine, but there's a lot to at least, let's keep watching this.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
coref-136896896-13,"The previous big move we wrote about was 1 day ago when the stock dropped 3.1% as reports surfaced of another month of declining sales in Europe, where the company was outsold by a key competitor.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"The previous big move we wrote about was 1 day ago when the stock dropped 3.1% as reports surfaced of another month of declining sales in Europe, where Tesla was outsold by a key competitor.",,,
anaphora-138291520-8,But the company also saw its first-ever decline in annual revenue.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",But Tesla also saw its first-ever decline in annual revenue.,,,
coref-139598228-7,"Against total volume, that lands near 8%–10% — and moves comfortably above 10% on active days.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
ceo_only-139905684-22,"Yvonne Gonzalez Rogers, the California judge who is presiding over the case, suggested in January that Mr Musk's $134bn damages calculation appeared to be based on ""numbers out of the air"".",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-141074956-39,"In its early days, many did not take the company seriously, and it faced supplier issues.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"In Tesla's early days, many did not take the company seriously, and it faced supplier issues.",,,
ceo_only-139908194-10,"You know, Elon Musk is a co-founder, uh, along with uh, Sam Altman.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-141068286-13,Musk also has to increase the company's profit (adjusted EBITDA) to $400 billion by 2035 in order to access the full share package.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Musk also has to increase Tesla's profit (adjusted EBITDA) to $400 billion by 2035 in order to access the full share package.,,,
coref-141041708-17,"It's driven a total of 380,000 unsupervised miles in six cities in two states.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla's driven a total of 380,000 unsupervised miles in six cities in two states.",,,
ceo_only-138310190-47,But that's sort of where Musk's mind is.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-136861499-32,Whether a stock's current price rightly reflects the intrinsic value of the underlying business and the company's growth prospects is an essential determinant of its future price performance.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Whether a stock's current price rightly reflects the intrinsic value of the underlying business and Tesla's growth prospects is an essential determinant of its future price performance.,,,
anaphora-139579132-11,"Nordeen joins a list of co-founders who have left the company, including Manuel Kroiss , Guodong Zhang , Zihang Dai , Toby Pohlen , Jimmy Ba , Tony Wu , and Greg Yang .","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Nordeen joins a list of co-founders who have left Tesla, including Manuel Kroiss , Guodong Zhang , Zihang Dai , Toby Pohlen , Jimmy Ba , Tony Wu , and Greg Yang .",,,
coref-136892576-27,"However, CEO Elon Musk has repeatedly said over the past few years that its Optimus humanoid robot will be the company's most valuable product over time.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"However, CEO Elon Musk has repeatedly said over the past few years that Tesla's Optimus humanoid robot will be the company's most valuable product over time.",,,
ceo_only-137278983-10,"The previous big move we wrote about was 1 day ago when the stock dropped 3.8% on the news that investor concerns grew as one of the United States' largest pension funds, the California Public Employees' Retirement System (Calpers), stated it would vote against CEO Elon Musk's 2025 performance award.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-138479641-2,"""Not out of the question at some point,"" Musk responded, adding that it would be ""a very different device than current phones,"" optimized for ""maximum performance/watt neural nets.""",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-137614445-18,"In its humanoid robots, Optimus, the same cadence for HW3 and HW4 chips are used.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
ceo_only-140465708-32,"The 300-megawatt facility went fully operational in December 2024 after what Musk's team treated as a point of pride, a 122-day build.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-136495989-5,"In contrast, the robotaxis blended in with all the other Teslas on the road; we felt inconspicuous flowing with the traffic.""",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
coref-139167808-3,"On a recent earnings call, CEO Elon Musk explained the decision by saying, ""we're really moving into a future that is based on autonomy.""",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"On a recent earnings call, CEO Elon Musk explained the decision by saying, ""Tesla're really moving into a future that is based on autonomy.""",,,
ceo_only-140419409-18,The question SpaceX refuses to answer plainly: how much of Musk does a SpaceX shareholder actually own?,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-141146266-46,Its lower valuation offers investors a greater margin of safety.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Tesla's lower valuation offers investors a greater margin of safety.,,,
ceo_only-138294600-1,Elon Musk is weighing a potential initial public offering for SpaceX as early as mid-June 2026.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-138412240-33,Musk's wealth now exceeds that of the bottom 52% of American households.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-136861508-15,"The analysts noted the EV maker is seeing only a ""muted"" impact from tariffs and boosted optimism for the company's robotaxi ambitions.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","The analysts noted Tesla is seeing only a ""muted"" impact from tariffs and boosted optimism for the company's robotaxi ambitions.",,,
coref-138421135-21,"The EV maker’s Cybercab was also spotted in Austin, though it wasn’t immediately clear if the car was being driven by a human or operating autonomously.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla's Cybercab was also spotted in Austin, though it wasn’t immediately clear if the car was being driven by a human or operating autonomously.",,,
ceo_only-136476575-2,"U.S. District Judge Robert Pitman in Austin, Texas, ruled that plaintiff Jacqueline McAferty plausibly alleged Musk and his political action committee, America PAC , misled voters into believing they were entering a legitimate lottery, reported Reuters.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-141074956-36,"For years, Musk has been promising the moon to investors, only to miss self-declared deadlines and forecasts almost every time.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-139908240-25,"But as we got down into the question-and-answer portion of the earnings call, Elon Musk started talking about something called Terafab.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
anaphora-136563659-6,The EV maker's troubles in Europe uh continuing to add up.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's troubles in Europe uh continuing to add up.,,,
anaphora-140421245-17,Gracias loaned Musk $1 million to keep the company alive.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Gracias loaned Musk $1 million to keep Tesla alive.,,,
ceo_only-138290190-26,"Musk reiterated that goal on Wednesday, saying between a quarter to half of the United States will have fully autonomous vehicles by the end of 2026, “pending regulatory approval.”",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-140059719-1,"As the company moves toward what may become the biggest IPO ever , investors are watching whether Musk can deliver on his promises.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
anaphora-141041608-30,"It requires regulatory approval, public trust, insurance frameworks, operational support, and an economic business model that scales.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla requires regulatory approval, public trust, insurance frameworks, operational support, and an economic business model that scales.",,,
ceo_only-138932941-2,Musk recently claimed another milestone.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-139570229-7,"Elon Musk has been dropping clues about the automaker's possible new model, hinting that the vehicle could feature 3 rows and be something ""way cooler"" than a minivan.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Elon Musk has been dropping clues about Tesla's possible new model, hinting that the vehicle could feature 3 rows and be something ""way cooler"" than a minivan.",,,
anaphora-140474600-3,Its products don't sit in driveways or living rooms; they sit deep inside the data centers that train and run artificial intelligence (AI) .,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's products don't sit in driveways or living rooms; they sit deep inside the data centers that train and run artificial intelligence (AI) .,,,
coref-140776229-6,"The company is expected to report EPS of $0.45, up 12.5% from the prior-year quarter.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla is expected to report EPS of $0.45, up 12.5% from the prior-year quarter.",,,
anaphora-136914558-5,It's time now for today's trending tickers.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's time now for today's trending tickers.,,,
coref-140121188-13,"The software did not disengage, brake, or alert the driver in any of the runs.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
anaphora-139552962-12,It's about supply chains.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's about supply chains.,,,
ceo_only-138297103-7,"The strategic overhaul also includes a new $2 billion investment agreement with Musk's xAI startup, completed through preferred shares as part of xAI's latest funding round, alongside a broader framework agreement intended to deepen collaboration on AI products that can be deployed in the physical world.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-137228487-7,The company's R&D expenses for its robotics and autonomous driving initiatives may also eat into its profitability.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Tesla's R&D expenses for its robotics and autonomous driving initiatives may also eat into its profitability.,,,
